name, type, search_term_position, page_position, starting_page, search_url1, search_url2, search_url3
New York Times,print,0,1,1,"http://query.nytimes.com/search/sitesearch/?action=click&contentCollection&region=TopBar&WT.nav=searchWidget&module=SearchSubmit&pgtype=Homepage#/","/since1851/allresults/","/allauthors/newest/"
Washington Post,print,0,1,1,"https://www.washingtonpost.com/newssearch/?query=","&contenttype=&searchType=&blogName=&datefilter=All+Since+2005#page-",""
San Francisco Chronicle,print,0,1,1,"http://www.sfgate.com/search/?action=search&searchindex=gsa&query=","&page=",""
The Wall Street Journal,print,0,1,1,"http://www.wsj.com/search/term.html?KEYWORDS=","&page=",""
Los Angeles Times,print,1,0,1,"http://www.latimes.com/search/dispatcher.front?page=","&target=all&Query=","#trb_search"
New York Post,print,1,0,1,"http://nypost.com/page/","/?s=",""
Daily News,print,1,0,1,"http://www.nydailynews.com/search-results/search-results-7.113?kw=&tfq=&afq=&page=","&sortOrder=Relevance&selecturl=site&q=","&sfq=&dtfq="
Chicago Sun-Times,print,0,1,1,"http://chicago.suntimes.com/?s=","&page=",""
Chicago Tribune,print,1,0,1,"http://www.chicagotribune.com/search/dispatcher.front?page=","&sortby=display_time%20descending&target=all&spell=on&Query=","#trb_search"
The Orange County Register,print,1,0,1,"http://www.ocregister.com/search/?pg=","&srt=date&q=",""
Newsday,print,0,1,1,"http://www.newsday.com/search#!q=","&page=",""
SFGate,print,0,1,1,"http://www.sfgate.com/search/?action=search&searchindex=gsa&query=","&sort=date&page=",""
Chron,print,0,1,1,"http://www.chron.com/search/?action=search&searchindex=gsa&query=","&sort=date&page=",""